codigo_fns	codigo_interno	descripcion	ambulatorio	urgencia	hospitalizado
403003	40300300	Tomografia Computarizada de fosa posterior	8149	97788	122235
403006	40300600	Tomografia Computarizada de temporal-oido	8149	97788	122235
403007	40300700	Tomografia Computarizada de orbitas maxilofacial	988	11856	1482
403008	40300800	Tomografia Computarizada de columna cervical	10822	129864	16233
403018	40301800	Tomografia Computarizada de Columna Dorsal. Incluye minimo 6 espacios	9875	1185	148125
403019	40301900	Tomografia Computarizada de Columna Lumbar	9875	1185	148125
403012	40301200	Tomografia Computarizada de cuello, partes blandas	8149	97788	122235
403013	40301300	TomografiaComputarizadadeTorax.Incluyeademas:Esternon,Claviculas,ArticulacionAcromioclavicular,Escapula,Costillas,ArticulacionEsternoclavicular.IncluyetodoelToraxocadasegmentooarticulacion.Incluyebilateralidad	127700	153240	191550
403014	40301400	TomografiaComputarizadadeabdomen(higado,viasyvesiculabiliar,pancreas,bazo,suprarrenalesyrinones)	76050	91260	114075
403016	40301600	TomografiaComputarizadadePelvis(AdemasincluyeSacro,Coxis,Caderas,HuesosPelvicos,ArticulacionesSacroIliacas).Bilateral	78000	93600	117000
403020	40302000	Tomografia Computarizada de Abdomen y Pelvis	12926	155112	19389
403021	40302100	Tomografia Computarizada Pielografia	3042	36504	4563
403022	40302200	Tomografia Computarizada Urografia	7605	9126	114075
403023	40302300	TomografiaComputarizadadeColonoscopiaVirtual.Noincluyeinstalaciondesonda	58000	69600	87000
403104	40310400	Tomografia Computarizada Angio de Cuello	7573	90876	113595
403105	40310500	Tomografia Computarizada Angio de Pelvis	6182	74184	9273
403017	40301700	TomografiaComputarizadaMusculoesqueleticaporzonaanatomica.Porcadasegmentooarticulacion:muslo,pierna,rodillas,antebrazo,codo,muneca,mano,hombro,pie,tobillouotros.Bilateralsolopararodillas	68990	82788	103485
403101	40310100	Tomografia Computarizada angio de encefalo	10318	123816	15477
403102	40310200	Tomografia Computarizada angio de torax	15533	186396	232995
403103	40310300	Tomografia Computarizada angio de abdomen	14382	172584	21573
404003	40400300	Ecografiaabdominal(incluyehigado,viabiliar,vesicula,pancreas,rinones,bazo,retroperitoneoygrandesvasos)	35180	42216	52770
404004	40400400	Ecografiacomoapoyoacirugia,oaprocedimiento(detorax,muscular,partesblandas,etc.)	21660	25992	32490
404009	40400900	Ecografia pelvica masculina (incluye vejiga y prostata)	1958	23496	2937
404010	40401000	Ecografia renal (bilateral), o de bazo	2445	2934	36675
404011	40401100	Ecografia encefalica (RN o lactante)	2518	30216	3777
404012	40401200	Ecografia mamaria bilateral (incluye Doppler)	2445	2934	36675
404013	40401300	Ecografia ocular, uno o ambos ojos.	2445	2934	36675
404014	40401400	Ecografia testicular (uno o ambos) (Incluye Doppler)	2445	2934	36675
404015	40401500	Ecografia tiroidea (Incluye Doppler)	2445	2934	36675
404016	40401600	Ecografia Partes Blandas o Musculoesqueletica (cada zona anatomica)	2445	2934	36675
404118	40411800	Ecografia vascular (arterial y venosa) periferica (bilateral)	8016	96192	12024
404119	40411900	Ecografia doppler de vasos del cuello	8016	96192	12024
404120	40412000	Ecografia transcraneana	8016	96192	12024
404121	40412100	Ecografia abdominal o de vasos testiculares	8016	96192	12024
404002	40400200	Ecografia obstetrica	1914	12441	12441
404005	40400500	Ecografia transvaginal o transrectal	3916	25454	25454
404006	40400600	Ecografia ginecologica, pelviana femenina u obstetrica con estudio fetal	3728	24232	24232
404007	40400700	Ecografiatransvaginalparaseguimientodeovulacion,procedimientocompleto(6-8sesiones)	54460	35399	35399
404008	40400800	Ecografiaparaseguimientodeovulacion,procedimientocompleto(6a8sesiones)	54460	35399	35399
404122	40412200	Ecografia doppler de vasos placentarios	16032	104208	104208
405001	40500100	Resonancia Magnetica Craneo Encefalica u Oidos, bilateral	17115	20538	256725
405002	40500200	Resonancia Magnetica de hipotalamo - hipofisis	17115	20538	256725
405003	40500300	Resonancia Magnetica de orbitas	16233	194796	243495
405004	40500400	Resonancia Magnetica de articulaciones temporomandibulares	17178	206136	25767
405005	40500500	Resonancia Magnetica de columna cervical	17115	20538	256725
405006	40500600	Resonancia Magnetica de columna dorsal	17115	20538	256725
405007	40500700	Resonancia Magnetica de columna lumbar	17115	20538	256725
405017	40501700	Resonancia Magnetica Angiografia de Encefalo	17613	211356	264195
405018	40501800	Resonancia Magnetica Angiografia de Cuello	18112	217344	27168
405019	40501900	Resonancia Magnetica Angiografia de Torax	18112	217344	27168
405020	40502000	Resonancia Magnetica Angiografia de Abdomen	17613	211356	264195
405021	40502100	Resonancia Magnetica Angiografia de Pelvis	17115	20538	256725
405022	40502200	Resonancia Magnetica Angiografia de Extremidad Superior Unilateral	17613	211356	264195
405023	40502300	Resonancia Magnetica Angiografia de Extremidad Inferior Unilateral	17115	20538	256725
405009	40500900	ResonanciaMagneticadeTorax.(corazon,esternon,claviculas,articulacionacromioclavicular,escapula,costillasoarticulacionesternoclavicular).Todalaparedtoracicaocadasegmentooarticulacion.Bilateral	176130	211356	264195
405010	40501000	Resonancia Magnetica de abdomen	17115	20538	256725
405011	40501100	ResonanciaMagneticadePelvis.Incluye:osteoarticulardesacroiliacasuosteoarticulardesacrocoxisuosteoarticulardehuesospelvicosuorganospelvianos(incluyegenitalesinternosygastrointestinal)	171150	205380	256725
405012	40501200	Resonancia Magnetica de abdomen y pelvis	25671	308052	385065
405013	40501300	Resonancia Magnetica de rodilla	14033	168396	210495
405024	40502400	Resonancia Magnetica de Mano o Muneca	14442	173304	21663
405025	40502500	Resonancia Magnetica de Antebrazo o Brazo	14033	168396	210495
405026	40502600	Resonancia Magnetica de Codo	14033	168396	210495
405027	40502700	Resonancia Magnetica de Hombro	14033	168396	210495
405028	40502800	Resonancia Magnetica de Pie, Antepie o Tobillo	14033	168396	210495
405029	40502900	Resonancia Magnetica de Pierna	14442	173304	21663
405030	40503000	Resonancia Magnetica de Muslo o Cadera. Unilateral	14033	168396	210495
405031	40503100	Resonancia Magnetica de Mama (bilateral)	14033	168396	210495
405032	40503200	Resonancia Magnetica fetal	17115	20538	256725
405016	40501600	Resonancia Columna Total (cervical, dorsal, lumbar)	30803	369636	462045
405098	40509800	Colangioresonancia	11465	13758	171975
601001	60100100	Evaluacionkinesiologica:muscular,articular,postural,neurologicayfuncional(maximo2portratamiento)	2720	3264	4080
601003	60100300	* Evaluacion Biomecanica instrumental	525	63	7875
601004	60100400	* Piscina temperada (incluye ejercicios) (proc.aut.)	525	63	7875
601005	60100500	*Radiacioninfrarroja,horno,banoparafina,compresashumedas,c/u
(proc.aut.)	1300	1560	1950
601006	60100600	*TanquedeHubbardconejercicios(hiperohipo-termalsobre1.000ltsdecapacidad)(proc.aut.)	5040	6048	7560
601007	60100700	*Turbion,tanqueconremolino(hiperohipotermal,banodecontraste)(proc.aut.)	2980	3576	4470
601010	60101000	* Terapia por radiacion ultravioleta. (proc.aut.)	136	1632	204
601008	60100800	* Laserterapia (proc.aut.)	317	3804	4755
601009	60100900	* Onda corta (ultratermia), microondas, c/u (proc.aut.)	27	324	405
601011	60101100	* Terapia por ondas mecanicas (proc. aut.)	298	3576	447
601012	60101200	* Analgesia transcutanea (TENS) (proc.aut.)	166	1992	249
601013	60101300	*Estimulacionelectrica(interferencial,diadinamicas,exponenciales,galvanica,faradica,ultraexcitante)(proc.aut.)	2700	3240	4050
601014	60101400	* Iontoforesis (proc.aut.)	136	1632	204
601015	60101500	* Retroalimentacion neuromuscular (miofeedback) (proc.aut.)	206	2472	309
601016	60101600	* Compresion neumatica (masaje compresivo) (proc.aut.)	178	2136	267
601027	60102700	* Traccion cervical y/o lumbar (mecanica o manual) (proc.aut.)	147	1764	2205
601029	60102900	Atencion kinesiologica integral	81	972	1215
601017	60101700	*Ejerciciosrespiratoriosyprocedimientosdekinesiterapiatoracica(ventilacionpulmonarlocalizada,estimulaciondelatos,bloqueostoracicos,vibraciones,percusionesytapoteos)(proc.aut.)	4020	4824	6030
601028	60102800	Entrenamiento cardiorrespiratorio funcional	283	3396	4245
601018	60101800	* Prueba de esfuerzo o Entrenamiento ergometrico (proc. aut.)	349	4188	5235
601019	60101900	*Entrenamientofuncionalconayudastecnicas(ortesis,ayudasdedesplazamiento,etc.)(proc.aut.)	3170	3804	4755
601020	60102000	* Entrenamiento protesico extremidades (proc.aut.)	27	324	405
601021	60102100	*Manipulacionosteopatica(liberacionarticular,manipulacionvertebral)(proc.aut.)	1980	2376	2970
601022	60102200	* Masoterapia, por sesion (proc.aut.)	349	4188	5235
601023	60102300	*Orientacionyentrenamientodepersonasconbajavisionoconceguera
(proc.aut.)	4980	5976	7470
601024	60102400	*Reeducacionmotriz(ejerciciosterapeuticospararecuperacionmuscular,capacidaddetrabajo,coordinacion,gimnasiaortopedica,reeducacionfuncional,demarcha)(individualyporsesion,minimo30minutos)(proc.aut.)	2220	2664	3330
601025	60102500	*Tecnicasdefacilitacion,tecnicasdeinhibicion(Kabaty/oBobath)(proc.aut.)	2110	2532	3165
601026	60102600	*Tecnicasderelajacion(entrenamientoautogenoSchultz-Jacobsonosimilar)(proc.aut.)	4670	5604	7005
601030	60103000	* Maniobras permeabilizacion de la via aerea (proc.aut.)	144	1728	216
601031	60103100	Atencionkinesiologicaintegral,alenfermohosp.enUTIoIntermedio(max.1diaria)	18930	22716	28395
702001	70200100	Preparaciondeglobulosrojos,plasma,plaquetasocrioprecipitados(incluyeentrevista,selecciondeldonanteylapreparaciondelrespectivohemocomponente)	NA	14172	17715
702002	70200200	Obtencionypreparacionautomatizadadeplaquetasendonanteunico,conmaquinaseparadoracelular(proc.completo)	NA	269700	337125
702003	70200300	SetdeExamenesporunidaddeGlobulosRojostransfundida(incluyeclasificacionABOyRho,VDRL,HIV,virushepatitisBantigenodesuperficie,anticuerposdehepatitisC,HTLV-IyII,Chagas,pruebadecompatibilidaderitrocitaria)	NA	19440	24300
702004	70200400	SetdeExamenesporunidadtransfundidadePlasmaodePlaquetasodeCrioprecipitados,c/u(incluyeclasificacionABOyRho,VDRL,HIV,virushepatitisBantigenodesuperficie,anticuerposdehepatitisC,HTLV-IyII,Chagas)	NA	16116	20145
702005	70200500	Prueba de compatibilidad por unidad de globulos rojos estudiada (proc. aut.)	NA	3468	4335
702006	70200600	Transfusionenadulto(atencionambulatoria,atencioncerradasiemprequelaadministracionseacontroladaporprofesionalespecialista,tecnologomedicoomedicoresponsable)	NA	11016	13770
702007	70200700	Transfusionennino(atencionambulatoria,atencioncerradasiemprequelaadministracionseacontroladaporprofesionalespecialista,tecnologomedicoomedicoresponsable)	NA	12816	16020
702008	70200800	Transfusionenadultooninoenpabellon(conasistenciapermanentedelmedicootecnologomedicoresponsable)(nocorrespondesucobrocuandoseacontroladapormedicoanestesista,porestarincluidaenelvalordesushonorarios)	NA	18864	23580
702009	70200900	Exsanguineotransfusionenreciennacidoporviaumbilical(incluyeproc.completodeextraccionyadministracion,ademasdelsetdeexamenespreviosalatransfusion)	NA	78936	98670
702010	70201000	Exsanguineotransfusionenadultoonino(incluyeproc.completodeextraccionalreceptoryadministracionalmismo,ademasdelsetdeexamenespreviosalatransfusion)	NA	49368	61710
702011	70201100	Autotransfusion-Predeposito(incluyeproc.completo,ademasdelosexamenesprevios)(correspondecobrodeunaprestacionparaextraccionde
2a4unidadesdesangreohemocomponentes)	NA	66120	82650
702012	70201200	Sangria(consideraelcobrodeunaprestacionporcadaunidaddesangreextraida)	NA	9696	12120
702013	70201300	Hemaferesis procedimiento manual (incluye proc. completo)	NA	252	315
702014	70201400	Hemaferesisprocedimientoconmaquinaseparadoracelular(incluyeproc.Completo)	NA	270828	338535
801001	80100100	Citodiagnosticocorriente,exfoliativa(Papanicolauysimilares)(porcadaorgano)	26700	32040	48060
801002	80100200	Citologia aspirativa (por puncion); por cada organo	3954	47448	71172
801003	80100300	** Estudio histopatologico con microscopia electronica (por cada organo)	13182	158184	237276
801004	80100400	**Estudiohistopatologicocontecnicasdeinmunohistoquimicaoinmunofluorescencia(porcadaorgano)	111060	133272	199908
801005	80100500	**Estudiohistopatologicocontecnicashistoquimicasespeciales(incluyedescalcificacion)(porcadaorgano)	81180	97416	146124
801006	80100600	Estudiohistopatologicodebiopsiacontemporanea(rapida)aintervencionesquirurgicas(porcadaorgano)(noincluyebiopsiadiferida)	107910	129492	194238
801007	80100700	Estudiohistopatologicocontincioncorrientedebiopsiadiferidaconestudioseriado(minimo10muestras)deunorganoopartedeel(noincluyeestudiocontecnicahabitualdeotrosorganosincluidosenlamuestra)	107910	129492	194238
801008	80100800	Estudio histopatologico corriente de biopsia diferida (por cada organo)	5592	67104	100656
801011	80101100	PCRtiemporealparamarcadorestumoralesencorteshistologicos(incluyemicrodiseccionyextracciondeADN)	469116	562939	844409
180103700	1801037	Ureasa, test de (para Helicobacter pylori) o similar	848	848	11024
No aplica	35013100	CETONEMIA CUALITATIVA	1	1	1
No aplica	35010100	HEMOGLOBINURIA	1	1	1
No aplica	35019400	TINCION TINTA CHINA (LCR)	1	1	1
No aplica	35020900	EOSINOFILOS EN ORINA	1	1	1
No aplica	35090100	INSUMO GLUCOSA NINO	18	18	18
No aplica	35090200	INSUMO GLUCOSA ADULTO	18	18	18
No aplica	35020500	MAGNESIO EN ORINA 24 HRS.	3	3	3
No aplica	35020800	VDRL (LCR) -	3	3	3
No aplica	35000700	ANTICUERPO IGG CISTICERCOSIS	788	788	788
No aplica	35016200	CHLAMYDIA TRACHOMATIS IGM	872	872	872
No aplica	35016300	CHLAMYDIA TRACHOMATIS IGG	872	872	872
No aplica	35017700	MYCOPLASMA PNEUMONIAE ANT.(IGG)	872	872	872
No aplica	35017800	MYCOPLASMA PNEUMONIAE ANT.(IGM)	872	872	872
No aplica	35094600	ALDOSTERONA EN ORINA (PROPIO)	89	89	89
No aplica	35016500	AC ADENOVIRUS IGG	908	908	908
No aplica	35016600	AC ADENOVIRUS IGM	908	908	908
No aplica	35094500	ADENOVIRUS IGG - IGM (PROPIO)	908	908	908
No aplica	35022200	VIRUS PARAINFLUENZA	934	934	934
No aplica	35014300	HTLV ANTICUERPOS 1-2	10	10	10
No aplica	35014700	HOMA	10	10	10
No aplica	35015000	CITOQUIMICO LCR	10	10	10
No aplica	35105400	TEST DE HELECHO	10	10	10
No aplica	35095600	AC CELULAS PARIETALES (PROPIO)	1032	1032	1032
No aplica	35000400	ANTICUERPO ANTI-ANTIGENO DE SUP PARA VIR	1052	1052	1052
No aplica	35021000	VIRUS HEPATITIS B, ANTIC. ANTI ANTIGENO AUSAB	1052	1052	1052
No aplica	35023900	ANTIGENO PROSTATICO LIBRE	1054	1054	1054
No aplica	35000300	ANTICUERPO ANTI TIPO ( TIROPEROXIDASA )	1062	1062	1062
No aplica	35014100	MHA-TP	1062	1062	1062
No aplica	35011100	TRIQUINOSIS IG G	1072	1072	1072
No aplica	35019600	VIRUS EPSTEIN BARR ANTICUERPOS IGG	1108	1108	1108
No aplica	35019700	VIRUS EPSTEIN BARR ANTICUERPOS IGM	1108	1108	1108
No aplica	35021900	VIRUS EPSTEIN BARR IGG	1108	1108	1108
No aplica	35022000	VIRUS EPSTEIN BARR IGM	1108	1108	1108
No aplica	35094800	ANDROSTENEDIONA (PROPIO)	1108	1108	1108
No aplica	35013200	PEPTIDO C	1122	1122	1122
No aplica	35001900	ANTICUERPOS BORDETELLA PERTUSSIS IGG	1134	1134	1134
No aplica	35002000	ANTICUERPOS BORDETELLA PERTUSSIS-IGM	1134	1134	1134
No aplica	35002100	ANTICUERPOS IGG TOXOCARA	1134	1134	1134
No aplica	35019500	TOXOCARA ANTICUERPOS IGG	1134	1134	1134
No aplica	35096200	BORDETELLA PERTUSSI IGG-IGM (PROPIO)	1134	1134	1134
No aplica	35010300	VIRUS RESPIRATORIO SINCISIAL	12	12	12
No aplica	35097600	COCAINA EN SANGRE (PROPIO)	1204	1204	1204
No aplica	35010500	ANFETAMINA	1238	1238	1238
No aplica	35094900	ANFETAMINA EN SANGRE (PROPIO)	1238	1238	1238
No aplica	35100100	MARIHUANA CONFIRMACION (PROPIO)	1238	1238	1238
No aplica	35100600	OPIACEOS EN ORINA (PROPIO)	1238	1238	1238
No aplica	35015800	TINCION PARA CAMPYLOBACTER	124	124	124
No aplica	35019000	SARAMPION ANTICUERPOS IGG	1244	1244	1244
No aplica	35019100	SARAMPION ANTICUERPOS IGM	1244	1244	1244
No aplica	35001300	ANTICUERPOS ANTIGLIADINA IGG	1298	1298	1298
No aplica	35001400	ANTICUERPOS ANTI B2 GLICOPROTEINA 1 IGC-	1298	1298	1298
No aplica	35010600	BARBITURICOS	13	13	13
No aplica	35010700	COCAINA	13	13	13
No aplica	35010800	CANABINOIDES	13	13	13
No aplica	35010900	OPIACEOS	13	13	13
No aplica	35011000	BENZODIAZEPINAS	13	13	13
No aplica	35014500	CITOQUIMICO DE LIQUIDOS	13	13	13
No aplica	35014800	ALCOHOL ETILICO	13	13	13
No aplica	35019800	VIRUS HEPATITIS B, ANTICORE IGM (ANTI	1378	1378	1378
No aplica	35019900	VIRUS HEPATITIS B, ANTICORE TOTAL (ANTI	1378	1378	1378
No aplica	35007700	ADENOVIRUS EN DEPOSICIONES	14	14	14
No aplica	35010400	VIRUS RESPIRATORIO ADENOVIRUS	14	14	14
No aplica	35006300	FOLATO ERITROCITARIO	1446	1446	1446
No aplica	35096500	CALCULOS RENALES O BILIARES (PROPIO)	1454	1454	1454
No aplica	35094100	ACIDO VAINILLILMANDELICO (PROPIO)	1488	1488	1488
No aplica	35095400	AC ANTI TREPONEMA FTA ABS (PROPIO)	1492	1492	1492
No aplica	35099600	IGF 1 Y 2  (PROPIO)	15225	15225	15225
No aplica	35013000	PROCALCITONINA SEMICUANTITATIVA)	1575	1575	1575
No aplica	35096300	BORRELIA BURGDORFERI IGG-IGM (PROPIO)	1592	1592	1592
No aplica	35096400	BRUCELLA IGG-IGM (PROPIO)	1592	1592	1592
No aplica	35020100	VITAMINA B12 NIVEL SERICO	1635	1635	1635
No aplica	35105000	VITAMINA B 12  (PROPIO)	1635	1635	1635
No aplica	35004700	DETERMINACION PEPETIDO C CITRULINADO	16635	16635	16635
No aplica	35018600	PEPTIDO CITRULINADO AC IGG	16635	16635	16635
No aplica	35022100	PEPTIDO CITRUNILADO	16635	16635	16635
No aplica	35090700	ANTICUERPOS ANTIPEPTIDO CITRULINADO	16635	16635	16635
No aplica	35102000	PEPTIDO CITRUNILADO (PROPIO)	16635	16635	16635
No aplica	35017200	CLOSTRIIDIUM DIFFILE DEPOSICION	1725	1725	1725
No aplica	35015900	CITRATURIA	1734	1734	1734
No aplica	35016000	OXALATURIA	1734	1734	1734
No aplica	35001600	ANTICUERPOS ANTI TRANSGLUTAMINASA	1754	1754	1754
No aplica	35016800	AC. ANTI TRANSGLUTAMINASA	1754	1754	1754
No aplica	35022300	IGA TRANSGLUTAMINASA	1754	1754	1754
No aplica	35103400	TRANSGLUT TISULAR IGG IGA (PROPIO)	1754	1754	1754
No aplica	35012100	ANTICUERPOS ANTI MEMBRANA BASAL	182	182	182
No aplica	35013900	CLONAZEPAM MINIMO	1832	1832	1832
No aplica	35014000	CLONAZEPAM MAXIMO	1832	1832	1832
No aplica	35015100	ZINC SANGRE	188	188	188
No aplica	35094200	ACIDO VALPROICO LIBRE % (PROPIO)	1982	1982	1982
No aplica	35093700	22 ALERGENOS (PROPIO)	21045	21045	21045
No aplica	35102600	PCR ULTRASENSIBLE (PROPIO)	2175	2175	2175
No aplica	35012500	DIMERO D CUANTITATIVO	225	225	225
No aplica	35021500	VITAMINA D-25 HIDROXICALCIFEROL -	225	225	225
No aplica	35021700	TOXINA CLOSTRIDIUM DIFFICILE EN DEPOSIC	231	231	231
No aplica	35023800	DIMERO D CUANTITATIVO	2325	2325	2325
No aplica	35096600	CANDIDA ALBICANS X PCR (PROPIO)	2385	2385	2385
No aplica	35097000	CHLAMYDIA TRACH X PCR (PROPIO)	2385	2385	2385
No aplica	35100500	NEISSERIA GONHORREAE (PROPIO)	2385	2385	2385
No aplica	35000500	ANTICUERPO ANTIB-2 GLICOPROTEINA 1 IGA-I	24555	24555	24555
No aplica	35095000	ANTI B2 GLICOPROTEINA (PROPIO)	24555	24555	24555
No aplica	35018400	PARVOVIRUS B 19  ANTICUERPOS IGG	26295	26295	26295
No aplica	35018500	PARVOVIRUS B 19  ANTICUERPOS IGM	26295	26295	26295
No aplica	35101900	PARVOVIRUS IGG IGM (PROPIO)	26295	26295	26295
No aplica	35022500	VIRUS RESPIRATORIO INFLUENZA A Y B	2784	2784	2784
No aplica	35094000	ACIDO MICOFENOLICO (PROPIO)	2892	2892	2892
No aplica	35007600	TROPONINA	2898	2898	2898
No aplica	35000900	ANTICUERPO IGG VIRUS HERPES ZOSTER	31575	31575	31575
No aplica	35001000	ANTICUERPO IGM VIRUS HERPE ZOSTER	31575	31575	31575
No aplica	35011200	VIRUS VARICELA ZOSTER IGG	31575	31575	31575
No aplica	35011300	VIRUS VARICELA ZOSTER IGM	31575	31575	31575
No aplica	35014600	BARTONELLA HENSELAE IGM	31575	31575	31575
No aplica	35017100	BARTONELLA HENSELAE IGG	31575	31575	31575
No aplica	35103700	VARICELLA ZOSTER IGG IGM (PROPIO)	31575	31575	31575
No aplica	35100900	PANEL EMBARAZADA POR PCR-RT (PROPIO)	324	324	324
No aplica	35001700	ANTICUERPOS ANTIGLIADINICOS IGA	33075	33075	33075
No aplica	35016900	ANTICUERPO ANTIRECEPTOR TSH TRAB	33075	33075	33075
No aplica	35095200	AC ANTI RECEPTOR TSH (PROPIO)	33075	33075	33075
No aplica	35012800	PREALBUMINA	345	345	345
No aplica	35105300	DETECCION VIRUS HANTA	36645	36645	36645
No aplica	35003700	DETERMINACION F VIII - CORISTOCETINA	375	375	375
No aplica	35005200	ESTUDIO ENF VON WILLEBRAND	375	375	375
No aplica	35013400	FACTOR VON WILLEBRAND	375	375	375
No aplica	35091900	FACTOR VON WILLEBRAND PLASMATICO MUL	375	375	375
No aplica	35099500	IG SUBCLASE IGG1, 2, 3, 4 (PROPIO)	38535	38535	38535
No aplica	35004100	DETERMINACION HOMOCISTEINA	38595	38595	38595
No aplica	35005700	ESTUDIO TROMBOFILIA .C.AC.LUPICO. GEN PRO	4017	4017	4017
No aplica	35023000	ANTICOAGULANTE LUPICO	4017	4017	4017
No aplica	35095100	ANTICOAGULANTE LUPICO (PROPIO)	4017	4017	4017
No aplica	35099000	HIDROXIPROLINA 24 H (PROPIO)	4137	4137	4137
No aplica	35003500	DETERMINACION ADA  ( ADENOSIN D- AMINASA	41925	41925	41925
No aplica	35094300	ADA (PROPIO)	41925	41925	41925
No aplica	35006900	IFI - PANEL VIRUS RESPIRATORIO	42615	42615	42615
No aplica	35001500	ANTICUERPOS ANTI LMK -1	4386	4386	4386
No aplica	35014900	AC.ANTI LKM-1	4386	4386	4386
No aplica	35005300	ESTUDIO ENTEROVIRUS	4431	4431	4431
No aplica	35097900	ENTEROVIRUS XPCR (PROPIO)	4431	4431	4431
No aplica	35003400	COBRE EN ORINA	45	45	45
No aplica	35012700	ZPP (ZINC PROTOPORFIRINAS)	45	45	45
No aplica	35015200	ZINC ORINA	45	45	45
No aplica	35015700	CROMO EN ORINA	45	45	45
No aplica	35017500	MERCURIO EN ORINA	45	45	45
No aplica	35017600	MERCURIO EN SANGRE	45	45	45
No aplica	35018700	PLOMO EN ORINA	45	45	45
No aplica	35018800	PLOMO EN SANGRE	45	45	45
No aplica	35020200	ARSENICO - CREATININA EN ORINA	45	45	45
No aplica	35095900	ARSENICO (PROPIO)	45	45	45
No aplica	35102400	PLOMO (PROPIO)	45	45	45
No aplica	35098500	GLUC 6 FOSF DEHIDROGENASA (PROPIO)	45495	45495	45495
No aplica	35097400	CLOBAZAN (PROPIO)	46335	46335	46335
No aplica	35097800	DIAZEPAM EN SANGRE (PROPIO)	46335	46335	46335
No aplica	35099200	HORMONA ANTIMULLERIANA (PROPIO)	4734	4734	4734
No aplica	35099300	INFLUENZA CON SUBTIPO H1N1 (PROPIO)	47745	47745	47745
No aplica	35006700	NIVELES DE VANCOMICINA	4821	4821	4821
No aplica	35012000	LAMOTRIGINA	48615	48615	48615
No aplica	35099800	LAMOTRIGINA (PROPIO)	48615	48615	48615
No aplica	35099900	LEVETIARACETAM (PROPIO)	48615	48615	48615
No aplica	35094700	AMINOACIDEMIA CUANTIT (PROPIO)	4884	4884	4884
No aplica	35001200	ANTICUERPO LEGIONELLA PNEUMOPHYLA IGG IG	4944	4944	4944
No aplica	35017300	LEGIONELLA IGG PNEUMOPHYLA ANTICUERPOS	4944	4944	4944
No aplica	35017400	LEGIONELLA IGM PNEUMOPHYLA ANTICUERPOS	4944	4944	4944
No aplica	35104900	VIRUS ZIKA IGG IGM (PROPIO)	49815	49815	49815
No aplica	35098100	ETANOL PLS (PROPIO)	51585	51585	51585
No aplica	35003600	DETERMINACION ANTIGENO HLA -B27	5199	5199	5199
No aplica	35021800	HLAB27	5199	5199	5199
No aplica	35103100	TIPIFICACION HLA B27 POR PCR MICROARRAY (PROPIO)	5199	5199	5199
No aplica	35003200	CITOMETRIA DE FLUJO PARA LINFOCITOS CD4-	525	525	525
No aplica	35003300	CITOMETRIA DE FLUJO PARALINFOCITOS CD-19	525	525	525
No aplica	35007900	RECUENTO LINFOCITOS CD4	525	525	525
No aplica	35099700	ISOENZIMAS DE FOF ALCALINA (PROPIO)	5415	5415	5415
No aplica	35002900	CHLAMYDIA NEUMONIAE POR PCR ( LIGHT CYC	54555	54555	54555
No aplica	35007000	PNEUMOCISTIS CARINI	54555	54555	54555
No aplica	35018900	PNEUMOCISTIS CARINII IFI	54555	54555	54555
No aplica	35095300	AC ANTI CELULAS BETA (PROPIO)	54555	54555	54555
No aplica	35096900	CHLAMYDIA PNEUMONIAE X PCR (PROPIO)	54555	54555	54555
No aplica	35100400	MYCOPLASMA PNEUMONIAE (PROPIO)	54555	54555	54555
No aplica	35101600	PANEL RESPIRATORIO INFLUENZA X PCR (PROPIO)	54555	54555	54555
No aplica	35102500	PNEUMOCISTIS JIROVECCI (CARINNI) X PCR (PROPIO)	54555	54555	54555
No aplica	35014200	CICLOSPORINA	54615	54615	54615
No aplica	35097100	CICLOSPORINA (PROPIO)	54615	54615	54615
No aplica	35000100	ANTICUERPO ANTI SACCARAROMYCES CEREVISIA	555	555	555
No aplica	35000200	ANTICUERPO ANTI SACCARAROMYCES CEREVISIA	555	555	555
No aplica	35102200	PERFIL DE AMINOACIDOS Y ACILCARNITINAS (PROPIO)	5793	5793	5793
No aplica	35103500	TREPONEMA PALLIDUM X PCR (PROPIO)	5793	5793	5793
No aplica	35005000	ESTUDIO CORONAVIRUS SIND AGUDO RESP SEVE	5796	5796	5796
No aplica	35014400	HEPATITIS B ANTIGENO E	5796	5796	5796
No aplica	35098700	AG E HEPATITIS (PROPIO)	5796	5796	5796
No aplica	35002400	BORDETELLA PERTUSSIS ANTIGENO POR BIOLOG	5967	5967	5967
No aplica	35002500	BORDETELLA PERTUSSIS IFD	5967	5967	5967
No aplica	35022900	IFI PARA BORDETELLA PERTUSIS	5967	5967	5967
No aplica	35096100	BORDETELLA PERTUSSI X PCR (PROPIO)	5967	5967	5967
No aplica	35102100	NT PRO BNP (PROPIO)	5967	5967	5967
No aplica	35098300	MUTACION FACTOR II (PROPIO)	61035	61035	61035
No aplica	35103300	TOXOPLASMA GONDII X PCR (PROPIO)	6123	6123	6123
No aplica	35002700	CARGA VIRAL DE ADENOVIRUS POR BIOLOGIA M	61365	61365	61365
No aplica	35005800	ESTUDIO VIRUS HERPES 1 POR BIOL. MOLECUL	61365	61365	61365
No aplica	35005900	ESTUDIO VIRUS HERPES 2 POR BIOL. MOLECUL	61365	61365	61365
